Policy Name,PolicyID,Arn
AmazonWorkMailReadOnlyAccess,ANPAJHF7J65E2QFKCWAJM,arn:aws:iam::aws:policy/AmazonWorkMailReadOnlyAccess
AWSImportExportReadOnlyAccess,ANPAJNTV4OG52ESYZHCNK,arn:aws:iam::aws:policy/AWSImportExportReadOnlyAccess
AWSImportExportFullAccess,ANPAJCQCT4JGTLC6722MQ,arn:aws:iam::aws:policy/AWSImportExportFullAccess
AWSLambdaExecute,ANPAJE5FX7FQZSU5XAKGO,arn:aws:iam::aws:policy/AWSLambdaExecute
AWSLambdaInvocation-DynamoDB,ANPAJTHQ3EKCQALQDYG5G,arn:aws:iam::aws:policy/AWSLambdaInvocation-DynamoDB
AmazonRedshiftFullAccess,ANPAISEKCHH4YDB46B5ZO,arn:aws:iam::aws:policy/AmazonRedshiftFullAccess
AmazonRedshiftReadOnlyAccess,ANPAIGD46KSON64QBSEZM,arn:aws:iam::aws:policy/AmazonRedshiftReadOnlyAccess
AmazonRDSFullAccess,ANPAI3R4QMOG6Q5A4VWVG,arn:aws:iam::aws:policy/AmazonRDSFullAccess
AmazonRDSReadOnlyAccess,ANPAJKTTTYV2IIHKLZ346,arn:aws:iam::aws:policy/AmazonRDSReadOnlyAccess
AmazonRoute53FullAccess,ANPAJWVDLG5RPST6PHQ3A,arn:aws:iam::aws:policy/AmazonRoute53FullAccess
AmazonRoute53ReadOnlyAccess,ANPAITOYK2ZAOQFXV2JNC,arn:aws:iam::aws:policy/AmazonRoute53ReadOnlyAccess
AmazonRoute53DomainsFullAccess,ANPAIPAFBMIYUILMOKL6G,arn:aws:iam::aws:policy/AmazonRoute53DomainsFullAccess
AmazonRoute53DomainsReadOnlyAccess,ANPAIDRINP6PPTRXYVQCI,arn:aws:iam::aws:policy/AmazonRoute53DomainsReadOnlyAccess
AmazonS3FullAccess,ANPAIFIR6V6BVTRAHWINE,arn:aws:iam::aws:policy/AmazonS3FullAccess
AmazonS3ReadOnlyAccess,ANPAIZTJ4DXE7G6AGAE6M,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess
SecurityAudit,ANPAIX2T3QCXHR2OGGCTO,arn:aws:iam::aws:policy/SecurityAudit
AmazonSESFullAccess,ANPAJ2P4NXCHAT7NDPNR4,arn:aws:iam::aws:policy/AmazonSESFullAccess
AmazonSESReadOnlyAccess,ANPAINV2XPFRMWJJNSCGI,arn:aws:iam::aws:policy/AmazonSESReadOnlyAccess
SimpleWorkflowFullAccess,ANPAIFE3AV6VE7EANYBVM,arn:aws:iam::aws:policy/SimpleWorkflowFullAccess
AmazonSNSFullAccess,ANPAJWEKLCXXUNT2SOLSG,arn:aws:iam::aws:policy/AmazonSNSFullAccess
AmazonSNSReadOnlyAccess,ANPAIZGQCQTFOFPMHSB6W,arn:aws:iam::aws:policy/AmazonSNSReadOnlyAccess
AmazonSQSFullAccess,ANPAI65L554VRJ33ECQS6,arn:aws:iam::aws:policy/AmazonSQSFullAccess
AmazonSQSReadOnlyAccess,ANPAIUGSSQY362XGCM6KW,arn:aws:iam::aws:policy/AmazonSQSReadOnlyAccess
AWSStorageGatewayFullAccess,ANPAJG5SSPAVOGK3SIDGU,arn:aws:iam::aws:policy/AWSStorageGatewayFullAccess
